"Date","EA","NTDOY","SCPL","TTWO","ATVI"
"2020-07-08",135.610001,58.32,15.47,147.820007,79.279999
"2020-07-09",138.770004,57.900002,15.74,150.759995,80.639999
"2020-07-10",140.809998,57.290001,15.41,153.910004,81.269997
"2020-07-13",135.309998,56.700001,14.63,146.820007,77.949997
"2020-07-14",138.529999,56.389999,14.62,151.050003,79.769997
"2020-07-15",138.429993,56.810001,14.92,151.279999,79.150002
"2020-07-16",138.050003,55.950001,15.01,150.309998,79.370003
"2020-07-17",138.309998,55.84,14.93,150.580002,78.639999
"2020-07-20",141.529999,55.27,15.24,154.699997,81.160004
"2020-07-21",139.339996,55.490002,15.7,153.059998,80.760002
"2020-07-22",138.300003,55.25,15.49,154.050003,81.099998
"2020-07-23",135.360001,55,14.84,151.479996,79.610001
"2020-07-24",135.240005,55.259998,14.99,156.020004,79.989998
"2020-07-27",136.160004,56.599998,14.71,159.240005,81.629997
"2020-07-28",134.779999,56.060001,14.23,156.410004,80.720001
"2020-07-29",135.929993,56.860001,14.11,157.820007,81.199997
"2020-07-30",138.589996,56.369999,14.24,159.559998,81.699997
"2020-07-31",141.619995,55.009998,14.62,164.020004,82.629997
"2020-08-03",142.360001,55.959999,15.49,167.690002,84.790001
"2020-08-04",146.320007,57.049999,16.6,177.520004,86.449997
"2020-08-05",146.179993,58.740002,15.77,176.020004,84.32
"2020-08-06",146.949997,61.32,15.41,177.339996,86.839996
"2020-08-07",143.990005,59.130001,14.91,174.960007,82.470001
"2020-08-10",140.699997,59.25,14.23,174.729996,82.260002
"2020-08-11",135.699997,58.450001,13.31,167.110001,79.120003
"2020-08-12",139.899994,60.07,13.84,168.110001,81.709999
"2020-08-13",141.770004,59.950001,13.83,171.279999,81.290001
"2020-08-14",140.429993,59.959999,13.54,173.410004,80.400002
"2020-08-17",140.449997,60.919998,14.45,175.210007,81.989998
"2020-08-18",142.580002,63.049999,14.27,176.979996,83.129997
"2020-08-19",141.860001,63.200001,13.88,172.630005,81.980003
"2020-08-20",143.479996,63.099998,13.99,174.429993,84
"2020-08-21",141.210007,64.309998,13.7,173.139999,83.209999
"2020-08-24",142.330002,68.080002,13.63,172.550003,83.099998
"2020-08-25",142.210007,66.400002,13.36,173.020004,83.620003
"2020-08-26",143.630005,68.650002,13.15,175.389999,84.480003
"2020-08-27",141.770004,67.540001,13.01,172.669998,83.900002
"2020-08-28",140.869995,67.239998,12.8,171.059998,83.209999
"2020-08-31",139.470001,67.370003,13.185,171.190002,83.519997
"2020-09-01",138.289993,70.5,13.35,172.5,83.330002
"2020-09-02",139.559998,70.080002,13.55,172.830002,83.449997
"2020-09-03",132.820007,70.099998,12.96,166.600006,80.309998
"2020-09-04",130.130005,70.68,13.03,161.710007,79.010002
"2020-09-08",124.300003,66.760002,12.34,156.220001,76.18
"2020-09-09",128.699997,69.629997,13,158.589996,79.589996
"2020-09-10",127.260002,68.889999,13.01,154.320007,79.089996
"2020-09-11",126.019997,69.989998,12.94,153.529999,77.970001
"2020-09-14",126.18,70.349998,14.27,156.479996,79.120003
"2020-09-15",128.330002,71.379997,15.17,160.589996,81.75
"2020-09-16",126.739998,71.440002,14.69,157.070007,79.989998
"2020-09-17",125.260002,70.519997,14.64,159.449997,78.769997
"2020-09-18",125.900002,72.059998,15.4,158.490005,80.089996
"2020-09-21",128.289993,71.349998,16,164.339996,81.410004
"2020-09-22",131.020004,71.5,16.459999,166.220001,82.650002
"2020-09-23",128.419998,70.980003,15.28,162.309998,80.129997
"2020-09-24",129.320007,70.199997,15.25,163.289993,79.690002
"2020-09-25",131.190002,70.339996,15.9,165.779999,80.980003
"2020-09-28",132.279999,70.599998,16.139999,167.460007,81.949997
"2020-09-29",130.020004,71.639999,16.33,164.339996,80.779999
"2020-09-30",130.410004,70.900002,16.219999,165.220001,80.949997
"2020-10-01",132.779999,71.300003,16.26,166.110001,82.68
"2020-10-02",129.070007,69.459999,15.7,160.149994,78.300003
"2020-10-05",130.720001,67.800003,17.309999,164.759995,79.989998
"2020-10-06",124.839996,67.68,17.24,162.199997,78.300003
"2020-10-07",125.010002,68.559998,18.030001,160.960007,78.470001
"2020-10-08",125.989998,68.849998,16.65,160.419998,77.800003
"2020-10-09",127.449997,68.779999,16.66,161.639999,78.209999
"2020-10-12",130.880005,70.25,15.49,167.139999,81.059998
"2020-10-13",132.940002,70.419998,15.43,169.160004,81.980003
"2020-10-14",132.75,70.269997,15.43,168.940002,81.900002
"2020-10-15",131.339996,69.160004,15.5,168.029999,80.349998
"2020-10-16",131.919998,68.849998,15.1,168.220001,80.620003
"2020-10-19",129.869995,68.709999,14.27,165.529999,80.080002
"2020-10-20",127.360001,67.940002,14.11,164.440002,80.139999
"2020-10-21",127.650002,67.099998,14.22,164.550003,81.940002
"2020-10-22",126.919998,66.989998,14.61,163.289993,80.769997
"2020-10-23",126.769997,65.599998,14.84,164.429993,81.040001
"2020-10-26",126.68,65.459999,14.96,165.050003,80.489998
"2020-10-27",126.620003,68.349998,15.2,167.360001,80.959999
"2020-10-28",125.599998,68.050003,14.86,164.389999,79.010002
"2020-10-29",123.900002,69.540001,14.23,162.770004,77.769997
"2020-10-30",119.830002,67.730003,13.35,154.919998,75.730003
