"Date","MSFT","GOOGL","TWTR","FB"
"2020-07-21",208.75,1555.920044,37.009998,241.75
"2020-07-22",211.75,1564.849976,36.939999,239.869995
"2020-07-23",202.539993,1516.75,38.439999,232.600006
"2020-07-24",201.300003,1508.209961,37.540001,230.710007
"2020-07-27",203.850006,1529.430054,36.849998,233.5
"2020-07-28",202.020004,1503.650024,36.610001,230.119995
"2020-07-29",204.059998,1523.51001,37.16,233.289993
"2020-07-30",203.899994,1538.369995,36.720001,234.5
"2020-07-31",205.009995,1487.949951,36.400002,253.669998
"2020-08-03",216.539993,1482.76001,36.389999,251.960007
"2020-08-04",213.289993,1473.300049,36.349998,249.830002
"2020-08-05",212.940002,1479.089966,36.790001,249.119995
"2020-08-06",216.350006,1504.949951,37.689999,265.279999
"2020-08-07",212.479996,1498.369995,37.139999,268.440002
"2020-08-10",208.25,1496.819946,37.439999,263
"2020-08-11",203.380005,1480.540039,37.279999,256.130005
"2020-08-12",209.190002,1507.23999,37.439999,259.890015
"2020-08-13",208.699997,1516.650024,37.82,261.299988
"2020-08-14",208.899994,1504.630005,37.900002,261.23999
"2020-08-17",210.279999,1516.23999,37.970001,261.160004
"2020-08-18",211.490005,1555.780029,38.009998,262.339996
"2020-08-19",209.699997,1544.609985,38.889999,262.589996
"2020-08-20",214.580002,1576.25,38.959999,269.01001
"2020-08-21",213.020004,1575.569946,39.259998,267.01001
"2020-08-24",213.690002,1585.150024,40.490002,271.390015
"2020-08-25",216.470001,1605.849976,40.549999,280.820007
"2020-08-26",221.149994,1644.130005,41.080002,303.910004
"2020-08-27",226.580002,1628.52002,40.389999,293.220001
"2020-08-28",228.910004,1639.430054,41.07,293.660004
"2020-08-31",225.529999,1629.530029,40.580002,293.200012
"2020-09-01",227.270004,1655.079956,41.150002,295.440002
"2020-09-02",231.649994,1717.390015,43.669998,302.5
"2020-09-03",217.300003,1629.51001,41.630001,291.119995
"2020-09-04",214.25,1581.209961,39.869999,282.730011
"2020-09-08",202.660004,1523.599976,38.189999,271.160004
"2020-09-09",211.289993,1547.22998,39.560001,273.720001
"2020-09-10",205.369995,1526.050049,38.950001,268.089996
"2020-09-11",204.029999,1515.76001,38.93,266.609985
"2020-09-14",205.410004,1508.829956,38.77,266.149994
"2020-09-15",208.779999,1535.119995,39.09,272.420013
"2020-09-16",205.050003,1512.089966,39.599998,263.519989
"2020-09-17",202.910004,1487.040039,39.349998,254.820007
"2020-09-18",200.389999,1451.089966,40.150002,252.529999
"2020-09-21",202.539993,1430.140015,39.900002,248.149994
"2020-09-22",207.419998,1459.819946,42.73,254.75
"2020-09-23",200.589996,1409.390015,45.330002,249.020004
"2020-09-24",203.190002,1422.859985,43.139999,249.529999
"2020-09-25",207.820007,1439.060059,43.84,254.820007
"2020-09-28",209.440002,1458.660034,44.150002,256.820007
"2020-09-29",207.259995,1466.02002,44.740002,261.790009
"2020-09-30",210.330002,1465.599976,44.5,261.899994
"2020-10-01",212.460007,1487.900024,46.700001,266.630005
"2020-10-02",206.190002,1455.599976,46.119999,259.940002
"2020-10-05",210.380005,1482.829956,47.310001,264.649994
"2020-10-06",205.910004,1451.02002,45.599998,258.660004
"2020-10-07",209.830002,1459.140015,45.869999,258.119995
"2020-10-08",210.580002,1483.430054,46.009998,263.76001
"2020-10-09",215.809998,1510.449951,45.900002,264.450012
"2020-10-12",221.399994,1564.589966,48.25,275.75
"2020-10-13",222.860001,1567.069946,47,276.140015
"2020-10-14",220.860001,1563.439941,45.98,271.820007
"2020-10-15",219.660004,1555.469971,46.029999,266.720001
"2020-10-16",219.660004,1567.699951,45.810001,265.929993
"2020-10-19",214.220001,1529.949951,45.82,261.399994
"2020-10-20",214.649994,1551.079956,46.349998,267.559998
"2020-10-21",214.800003,1585.98999,50.240002,278.730011
"2020-10-22",214.889999,1606.660034,50.279999,278.119995
"2020-10-23",216.229996,1632.97998,50.439999,284.790009
"2020-10-26",210.080002,1584.290039,49,277.109985
"2020-10-27",213.25,1598.880005,51.27,283.290009
"2020-10-28",202.679993,1510.800049,48.529999,267.670013
"2020-10-29",204.720001,1556.880005,52.43,280.829987
"2020-10-30",202.470001,1616.109985,41.360001,263.109985
