"Date","Index","Close","Close_scale"
2020-01-02,"ZM",68.720001,100
2020-01-03,"ZM",67.279999,97.9
2020-01-06,"ZM",70.32,102.33
2020-01-07,"ZM",71.900002,104.63
2020-01-08,"ZM",72.550003,105.57
2020-01-09,"ZM",72.620003,105.68
2020-01-10,"ZM",73.089996,106.36
2020-01-13,"ZM",74.029999,107.73
2020-01-14,"ZM",73.160004,106.46
2020-01-15,"ZM",76.940002,111.96
2020-01-16,"ZM",76.110001,110.75
2020-01-17,"ZM",75.559998,109.95
2020-01-21,"ZM",76.730003,111.66
2020-01-22,"ZM",75.540001,109.92
2020-01-23,"ZM",74.470001,108.37
2020-01-24,"ZM",73,106.23
2020-01-27,"ZM",70.440002,102.5
2020-01-28,"ZM",71.510002,104.06
2020-01-29,"ZM",73.580002,107.07
2020-01-30,"ZM",74.540001,108.47
2020-01-31,"ZM",76.300003,111.03
2020-02-03,"ZM",87.660004,127.56
2020-02-04,"ZM",85.790001,124.84
2020-02-05,"ZM",86.989998,126.59
2020-02-06,"ZM",87.260002,126.98
2020-02-07,"ZM",88.639999,128.99
2020-02-10,"ZM",89.669998,130.49
2020-02-11,"ZM",88.68,129.05
2020-02-12,"ZM",88.279999,128.46
2020-02-13,"ZM",89.860001,130.76
2020-02-14,"ZM",90.949997,132.35
2020-02-18,"ZM",96.389999,140.26
2020-02-19,"ZM",103.93,151.24
2020-02-20,"ZM",105.290001,153.22
2020-02-21,"ZM",101.760002,148.08
2020-02-24,"ZM",105.010002,152.81
2020-02-25,"ZM",107.080002,155.82
2020-02-26,"ZM",106.879997,155.53
2020-02-27,"ZM",113.550003,165.24
2020-02-28,"ZM",105,152.79
2020-03-02,"ZM",113.110001,164.6
2020-03-03,"ZM",117.470001,170.94
2020-03-04,"ZM",116.800003,169.97
2020-03-05,"ZM",125,181.9
2020-03-06,"ZM",114.32,166.36
2020-03-09,"ZM",113.75,165.53
2020-03-10,"ZM",108.489998,157.87
2020-03-11,"ZM",110.300003,160.51
2020-03-12,"ZM",109.470001,159.3
2020-03-13,"ZM",107.470001,156.39
2020-03-16,"ZM",107.860001,156.96
2020-03-17,"ZM",111.099998,161.67
2020-03-18,"ZM",118.709999,172.74
2020-03-19,"ZM",123.769997,180.11
2020-03-20,"ZM",130.550003,189.97
2020-03-23,"ZM",159.559998,232.19
2020-03-24,"ZM",135.179993,196.71
2020-03-25,"ZM",138.110001,200.97
2020-03-26,"ZM",141.149994,205.4
2020-03-27,"ZM",151.699997,220.75
2020-03-30,"ZM",150.880005,219.56
2020-03-31,"ZM",146.119995,212.63
2020-04-01,"ZM",137,199.36
2020-04-02,"ZM",121.93,177.43
2020-04-03,"ZM",128.199997,186.55
2020-04-06,"ZM",122.940002,178.9
2020-04-07,"ZM",113.75,165.53
2020-04-08,"ZM",117.809998,171.43
2020-04-09,"ZM",124.510002,181.18
2020-04-13,"ZM",135.919998,197.79
2020-04-14,"ZM",141.889999,206.48
2020-04-15,"ZM",151.559998,220.55
2020-04-16,"ZM",150.259995,218.66
2020-04-17,"ZM",150.059998,218.36
2020-04-20,"ZM",148.990005,216.81
2020-04-21,"ZM",143.270004,208.48
2020-04-22,"ZM",150.25,218.64
2020-04-23,"ZM",169.089996,246.06
2020-04-24,"ZM",158.800003,231.08
2020-04-27,"ZM",164.600006,239.52
2020-04-28,"ZM",156.720001,228.06
2020-04-29,"ZM",146.479996,213.15
2020-04-30,"ZM",135.169998,196.7
2020-05-01,"ZM",138.559998,201.63
2020-05-04,"ZM",143.440002,208.73
2020-05-05,"ZM",144.820007,210.74
2020-05-06,"ZM",149.589996,217.68
2020-05-07,"ZM",157.800003,229.63
2020-05-08,"ZM",155.399994,226.14
2020-05-11,"ZM",166.479996,242.26
2020-05-12,"ZM",161.039993,234.34
2020-05-13,"ZM",167.139999,243.22
2020-05-14,"ZM",167.910004,244.34
2020-05-15,"ZM",174.830002,254.41
2020-05-18,"ZM",164.690002,239.65
2020-05-19,"ZM",173.679993,252.74
2020-05-20,"ZM",175.479996,255.36
2020-05-21,"ZM",172.029999,250.33
2020-05-22,"ZM",171.059998,248.92
2020-05-26,"ZM",164,238.65
2020-05-27,"ZM",161.970001,235.7
2020-05-28,"ZM",163.550003,237.99
2020-05-29,"ZM",179.479996,261.18
2020-06-01,"ZM",204.149994,297.08
2020-06-02,"ZM",208.080002,302.79
2020-06-03,"ZM",223.869995,325.77
2020-06-04,"ZM",210.350006,306.1
2020-06-05,"ZM",207.600006,302.1
2020-06-08,"ZM",209.830002,305.34
